FID_GaragePoints_buffered,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,BUFF_DIST,FID_Structures,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,428,0469,CCPG,No,GARAGE,0469,CCPG,Central Campus Parking Garage,1999,08,450 Spence St,College Station,77843,Central Campus Parking Garage | CCPG | 0469,225.223941799298444,2792.717644242938604
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,673,0443,OMB,No,ACADEMIC,0443,OMB,Eller Oceanography & Meteorology Building,1973,16,797 Lamar St,College Station,77843,Eller Oceanography & Meteorology Building | OMB | 0443,53.542143417748896,84.454890952364465
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,680,0517,CSA,No,ACADEMIC,0517,CSA,Computing Services Annex,1966,05,733 Lamar St,College Station,77843,Computing Services Annex | CSA | 0517,111.987470632869417,630.930462685194698
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,681,0470,GLAS,No,ACADEMIC,0470,GLAS,Melbern G. Glasscock Building,1921,04,398 Spence St,College Station,77843,Melbern G. Glasscock Building | GLAS | 0470,137.136724273129403,924.017867031880087
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,683,0472,AIEN,No,ACADEMIC,0472,AIEN,AI Engineering Building,1932,06,423 Spence St,College Station,77843,AI Engineering Building | AIEN | 0472,259.348537184743464,1623.047236011247378
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,688,0516,CSC,No,ACADEMIC,0516,CSC,Computing Services Center,1959,03,731 Lamar St,College Station,77843,Computing Services Center | CSC | 0516,196.088239970534744,2097.825091022943525
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,694,0471,PAV,No,ACADEMIC,0471,PAV,Pavilion,1916,02,424 Spence St,College Station,77843,Pavilion | PAV | 0471,184.005770012222740,1881.498376552994614
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,751,0457,TAES,No,ACADEMIC,0457,TAES,TAES Annex Building,1933,02,730 Lamar St,College Station,77843,TAES Annex Building | TAES | 0457,42.695205166522598,81.507739912938064
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,758,0511,HLB,No,ACADEMIC,0511,HLB,HEEP Laboratory Building,1957,05,645 Lamar St,College Station,77843,HEEP Laboratory Building | HLB | 0511,177.169433411507555,1303.347759855226741
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,772,0444,PETR,No,ACADEMIC,0444,PETR,Peterson Building,1963,05,435 Nagle St,College Station,77843,Peterson Building | PETR | 0444,231.857884274675740,1741.796376654744563
